Nº,Descripción,Denominación Origen, Precio Venta tienda,Cód. país/región de origen,Tipo elaboración,Bloqueado,Inventario,Fecha últ. modificación,Nº proveedor,Cód. categoría producto,Cód. grupo producto,Último coste directo
000101,EJEMPLO TINTO CRIANZA 75 cl.,RIOJA,"  9,50 € ",,,No,24,9/1/2026,40000001,VINO,TINTO,"5,85"
000102,EJEMPLO BLANCO JOVEN 75 cl.,PENEDÉS,"  7,50 € ",,ECOLOGICO,No,12,16/1/2026,40000002,VINO,BLANCO,"4,455"
000103,EJEMPLO ROSADO 75 cl.,NAVARRA,"  6,95 € ",,,No,8,25/2/2026,PRO000003,VINO,ROSADO,"3,90"
000104,EJEMPLO IMPORTADO 75 cl.,,"  32,60 € ",FR,,No,4,26/6/2026,40000004,VINO,EXTRANJERO,"21,573"
000105,EJEMPLO SIN ALCOHOL 75 cl.,CATALUÑA,"  8,95 € ",,SIN ALCOHOL,No,30,7/5/2026,PRO000005,VINO,SIN ALCOHO,"5,10"
000106,EJEMPLO ESTUCHE 3 BOTELLAS,,"  45,00 € ",,,Sí,2,20/3/2026,40000006,VINO,BOX,"28,000"
000107,EJEMPLO TINTO MAYUSCULAS 75 CL.,RIOJA,"  10,00 € ",,,No,5,1/2/2026,40000007,VINO,TINTO,"6,00"
000108,EJEMPLO BLANCO SIN ESPACIO 75cl.,RUEDA,"  11,00 € ",,,No,6,2/2/2026,40000008,VINO,BLANCO,"6,50"
000109,"EJEMPLO MAGNUM 1,5 L.",RIOJA,"  25,00 € ",,,No,3,3/2/2026,40000009,VINO,TINTO,"15,00"
000110,EJEMPLO MEDIA 37.5 cl.,PENEDÉS,"  5,50 € ",,,No,10,4/2/2026,40000010,VINO,BLANCO,"3,25"
000111,EJEMPLO PUNTO DOBLE 75 cl..,BIERZO,"  12,00 € ",,,No,7,5/2/2026,40000011,VINO,TINTO,"7,00"
000112,EJEMPLO SIN DENOMINACION 75 cl.,-,"  6,00 € ",,,No,9,6/2/2026,40000012,VINO,TINTO,"3,60"
000113,EJEMPLO PRECIO ROTO 75 cl.,RIOJA,#N/A,,,No,4,7/2/2026,40000013,VINO,TINTO,"5,00"
000114,EJEMPLO GRUPO DESCONOCIDO 75 cl.,RIOJA,"  9,00 € ",,,No,4,8/2/2026,40000014,VINO,MAGNUM,"5,40"
,EJEMPLO SIN SKU 75 cl.,RIOJA,"  9,00 € ",,,No,4,9/2/2026,40000015,VINO,TINTO,"5,40"
000116,EJEMPLO STOCK ROTO 75 cl.,RIOJA,"  9,00 € ",,,No,muchas,10/2/2026,40000016,VINO,TINTO,"5,40"
000117,EJEMPLO COSTE ROTO 75 cl.,RIOJA,"  9,00 € ",,,No,4,11/2/2026,40000017,VINO,TINTO,#N/A
000118,EJEMPLO FECHA ROTA 75 cl.,RIOJA,"  9,00 € ",,,No,4,31/2/2026,40000018,VINO,TINTO,"5,40"
000119,EJEMPLO BLOQUEO RARO 75 cl.,RIOJA,"  9,00 € ",,,quizá,4,12/2/2026,40000019,VINO,TINTO,"5,40"
000120,EJEMPLO CARO 75 cl.,CHÂTEAUNEUF-DU-PAPE,"  1.250,00 € ",FR,,No,1,13/2/2026,40000020,VINO,EXTRANJERO,"800,00"
000121,EJEMPLO DE LA CASA NATURAL 75 cl.,MONTSANT,"  14,00 € ",,NATURAL,No,8,14/2/2026,40000021,VINO,TINTO,"8,40"
000122,EJEMPLO ELABORACION NUEVA 75 cl.,ALELLA,"  13,00 € ",,ANFORA,No,6,15/2/2026,40000022,VINO,BLANCO,"7,80"
